"";"рейс";"расписание";"ожидаемое время";"статус";"Авиакомпания";"Номер рейса";"Направление";"Самолёт";"lon";"lat";"V11"
"245";"SU 1621 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-27 12:55:00;" ";"ожидается";" Аэрофлот";"SU 1621";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"255";"U6 2832 Симферополь — Москва (Домодедово)Airbus А321";2018-05-27 13:15:00;" ";"ожидается";" Уральские авиалинии";"U6 2832";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"265";"U6 484 Симферополь — СамараAirbus А320";2018-05-27 13:55:00;" ";"ожидается";" Уральские авиалинии";"U6 484";"Самара";"Airbus A320";"50.113987";"53.198627";5
"275";"SU 6144 Симферополь — Москва (Внуково)Boeing 747-400";2018-05-27 14:10:00;" ";"ожидается";" Россия";"SU 6144";"Москва";"Boeing 747-400";"37.6176606";"55.7507178";205
"285";"SU 6866 Симферополь — Нижний НовгородBoeing 737-800";2018-05-27 14:15:00;" ";"ожидается";" Россия";"SU 6866";"Нижний Новгород";"Boeing 737-800";"44.003506";"56.328571";2
"295";"U6 2932 Симферополь — ЕкатеринбургAirbus А320";2018-05-27 14:25:00;" ";"ожидается";" Уральские авиалинии";"U6 2932";"Екатеринбург";"Airbus A320";"60.60825";"56.839104";5
"305";"WZ 5568 Симферополь — Москва (Домодедово)Boeing 737-500";2018-05-27 14:35:00;" ";"ожидается";" Red Wings";"WZ 5568";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";205
"315";"5N 568 Симферополь — Москва (Домодедово)Boeing 737-500";2018-05-27 14:35:00;" ";"ожидается";" Нордавиа";"5N 568";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";205
"325";"5N 6702 Симферополь — Санкт-ПетербургAirbus А320";2018-05-27 15:05:00;" ";"ожидается";" Нордавиа";"5N 6702";"Санкт-Петербург";"Airbus A320";"30.316229";"59.938732";44
"335";"WZ 702 Симферополь — Санкт-ПетербургAirbus А320";2018-05-27 15:05:00;" ";"ожидается";" Red Wings";"WZ 702";"Санкт-Петербург";"Airbus A320";"30.316229";"59.938732";44
